Date,Price
20171001,599
20171101,600
20171201,611
20180101,633
20180201,656
20180301,659
20180401,680
20180501,687
20180601,693
20180701,686
20180801,691
20180901,696
20181001,694
20181101,686
20181201,679
20190101,676
20190201,671
20190301,669
20190401,662
20190501,647
20190601,632
20190701,619
20190801,607
20190901,592
20191001,577
20191101,566
20191201,565
20200101,576
20200201,571
20200301,570
20200401,562
20200501,548
20200601,552
20200701,548
20200801,555
20200901,578
20201001,587
20201101,602
20201201,637
20210101,772
20210201,798
20210301,805
20210401,806
20210501,873
20210601,958
20210701,982
20210801,1010
20210901,1017
20211001,987
20211101,996
20211201,1012
20220101,1027
20220201,1027
20220301,1146
20220401,1228
20220501,1179
20220601,1108
20220701,1029
20220801,976
20220901,969
20221001,923
20221101,879
20221201,842
20230101,840
20230201,838
20230301,843
20230401,857
20230501,844
20230601,781
20230701,765
20230801,737
20230901,728
20231001,708
20231101,722
20231201,735
20240101,761
20240201,751
20240301,739
20240401,717
20240501,703
20240601,699
20240701,691
20240801,689
20240901,693
20241001,689
20241101,670
20241201,660
20250101,670
20250201,707
20250301,724
20250401,744
20250501,748
20250601,757
20250701,766
20250801,766
20250901,757
20251001,752
20251101,740
20251201,742
20260101,765
20260201,775
20260301,782
20260401,803
20260501,825
20260601,824
20260701,815
20260801,821
